Player,Pos,Age,Tm,G,TRB,AST,STL,BLK,TOV,PTS,ALL-STAR
Jonah Bolden\boldejo01,C,24,TOT,7,1.3,0,0.4,0.3,0.3,1.4,0
Jonah Bolden\boldejo01,C,24,PHI,4,0.3,0,0.3,0,0.5,1,0
Jonah Bolden\boldejo01,C,24,PHO,3,2.7,0,0.7,0.7,0,2,0
Marques Bolden\boldema01,C,21,CLE,1,2,0,1,0,0,0,0
Jordan Bone\bonejo01,PG,22,DET,10,0.4,0.8,0.1,0,0.2,1.2,0
Isaac Bonga\bongais01,SF,20,WAS,66,3.4,1.2,0.7,0.3,0.9,5,0
Devin Booker\bookede01,SG,23,PHO,70,4.2,6.5,0.7,0.3,3.8,26.6,1
Chris Boucher\bouchch01,C,27,TOR,62,4.5,0.4,0.4,1,0.5,6.6,0
Brian Bowen\bowenbr02,SF,21,IND,6,1.2,0,0,0.2,0.2,1,0
Ky Bowman\bowmaky01,PG,22,GSW,45,2.7,2.9,1,0.2,1.6,7.4,0
Avery Bradley\bradlav01,SG,29,LAL,49,2.3,1.3,0.9,0.1,1,8.6,0
Tony Bradley\bradlto01,C,22,UTA,58,4.6,0.4,0.2,0.6,0.5,4.9,0
Jarrell Brantley\brantja01,PF,23,UTA,9,2.2,1.2,0.3,0.6,0.8,2.7,0
Ignas Brazdeikis\brazdig01,SF,21,NYK,9,0.6,0.4,0,0.1,0.2,1.9,0
Corey Brewer\breweco01,PF,33,SAC,5,1.6,0.4,0.8,0,0.4,1,0
Mikal Bridges\bridgmi01,SF,23,PHO,73,4,1.8,1.4,0.6,1,9.1,0
Miles Bridges\bridgmi02,SF,21,CHO,65,5.6,1.8,0.6,0.7,1.5,13,0
Oshae Brissett\brissos01,SF,21,TOR,19,1.4,0.4,0.2,0.1,0.4,1.9,0
Ryan Broekhoff\broekry01,SF,29,DAL,17,2.5,0.6,0.3,0.2,0.4,4.2,0
Malcolm Brogdon\brogdma01,PG,27,IND,54,4.9,7.1,0.6,0.2,2.4,16.5,0
Dillon Brooks\brookdi01,SG,24,MEM,73,3.3,2.1,0.9,0.4,1.7,16.2,0
